sample_id,split,teacher_ADE_to_GT,teacher_FDE_to_GT,student_ADE_to_GT,student_FDE_to_GT,student_vs_teacher_ADE,student_vs_teacher_FDE,teacher_minus_student_ADE,teacher_minus_student_FDE,teacher_token_match_3000,teacher_invalid_i3000plus_rate,teacher_early_ADE,teacher_early_FDE,teacher_late_ADE,teacher_path_length_ratio,gt_final_speed_mps,teacher_final_speed_mps,gt_final_y_m,teacher_final_y_m,teacher_final_lateral_error_m,teacher_direction_cosine,teacher_failure_tags,teacher_abs_bin,group,kd_weight,relative_kd_group,relative_kd_weight,prefix_teacher_good,teacher_quality_bucket,teacher_unique_ids,teacher_max_same_token_run,student_summary_available
000ba013-9eb4-45ca-8e86-93fdc68c37e2__t0_12187080__evt_00,train,0.05426934361457825,0.10358691215515137,0.0023810244165360928,0.0013521744403988123,0.05205044895410538,0.1049390435218811,0.051888319198042154,0.10223473771475255,0.7578125,0.0,0.018507730215787888,0.03429071232676506,0.07052462548017502,3.4479497584043735,0.0,0.014684498310089111,1.072804479917977e-05,5.930233328399481e-06,4.797811470780289e-06,0.9999998211860657,C_speed_scale_failure,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,high,17,1,True
002d7967-a4eb-4d6c-a71d-a956e058cda5__t0_12186920__evt_00,train,1.7739810943603516,7.241325855255127,0.8571571707725525,3.9627392292022705,1.0033992528915405,4.010307312011719,0.9168239235877991,3.2785866260528564,0.0,0.0,0.041836511343717575,0.12306979298591614,2.561319589614868,2.222338277361203,0.06300484389066696,3.339510917663574,-0.778257429599762,-6.037872791290283,5.259615421295166,0.9307530522346497,A_stop_or_decel_failure;C_speed_scale_failure;E_long_horizon_divergence,B_ok,B_ok,0.5,group3_teacher_downweight_or_exclude,0.0,True,noisy,112,1,True
00763228-8e24-43b6-90f4-43539e492695__t0_13069032__evt_00,train,3.2168898582458496,10.297873497009277,0.009245273657143116,0.01791856810450554,3.212144374847412,10.285099029541016,3.2076445845887065,10.279954928904772,0.015625,0.0,0.1521076112985611,0.6154818534851074,4.609973430633545,2.4995432145245386,0.801163911819458,3.9189486503601074,2.1187572479248047,1.5986032485961914,0.5201539993286133,0.9753618240356445,C_speed_scale_failure;E_long_horizon_divergence,D_middle,D_middle,0.25,group3_teacher_downweight_or_exclude,0.0,True,noisy,109,1,True
00bbc8b2-7d40-40f7-a1b3-a5853fe5bddc__t0_12206610__evt_01,train,0.1732703149318695,0.6730515956878662,0.03915421664714813,0.06064635142683983,0.14910084009170532,0.6127774715423584,0.13411609828472137,0.6124052442610264,0.03125,0.0,0.0367392934858799,0.046208593994379044,0.23532985150814056,1.0008279716483104,10.078760147094727,9.982547760009766,4.296562671661377,4.969463348388672,0.6729006767272949,0.9999430775642395,ok_or_low_error,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,medium,53,1,True
00bbc8b2-7d40-40f7-a1b3-a5853fe5bddc__t0_6706610__evt_00,train,0.2710130512714386,0.809075117111206,5.348642349243164,14.665312767028809,5.360420227050781,14.927335739135742,-5.0776292979717255,-13.856237649917603,0.046875,0.0,0.04559975117444992,0.12359647452831268,0.3734736442565918,0.9878715113248787,9.732666969299316,9.612196922302246,-2.9488391876220703,-2.582491874694824,0.3663473129272461,0.9999849796295166,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,57,3,True
00d4efa8-62a5-47ce-b8c7-e2a6b67b8f5c__t0_7198027__evt_00,train,7.098298072814941,15.559330940246582,0.018411200493574142,0.042143646627664566,7.099062919616699,15.563116073608398,7.079886872321367,15.517187293618917,0.0234375,0.0,0.6594749093055725,2.0591726303100586,10.025035858154297,1.37075039840938,7.406926155090332,7.889936447143555,0.7068365812301636,1.8253194093704224,1.1184828281402588,0.9998892545700073,C_speed_scale_failure;E_long_horizon_divergence,C_bad,C_bad,0.0,group3_teacher_downweight_or_exclude,0.0,False,noisy,69,1,True
00dbbd01-4229-437d-8f5b-cd4bb6c0596f__t0_7869386__evt_00,train,0.2294921875,0.6996293663978577,0.18077918887138367,1.0284157991409302,0.2622379660606384,1.3643503189086914,0.04871299862861633,-0.3287864327430725,0.078125,0.0,0.054782234132289886,0.16385896503925323,0.30890578031539917,0.9938438028801441,17.985380172729492,17.186355590820312,3.0691113471984863,3.0930778980255127,0.023966550827026367,1.0,ok_or_low_error,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,medium,54,1,True
0152b002-01f0-4ef1-b77c-f94b4275246c__t0_3066495__evt_00,train,0.38737472891807556,0.46790793538093567,0.09123000502586365,1.0732738971710205,0.42132568359375,1.5287983417510986,0.2961447238922119,-0.6053659617900848,0.0703125,0.0,0.034710321575403214,0.05676279589533806,0.5476767420768738,0.9949004240334791,12.350387573242188,14.174809455871582,-0.0005651260144077241,-0.09524332731962204,0.09467820078134537,0.9999994039535522,ok_or_low_error,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,medium,37,2,True
01f30837-55ca-496c-9a10-e837ea201144__t0_14014702__evt_01,train,0.9288434386253357,2.4233412742614746,0.22465096414089203,1.3287781476974487,1.0207147598266602,2.5566110610961914,0.7041924744844437,1.0945631265640259,0.0078125,0.0,0.15133175253868103,0.4179961383342743,1.2822579145431519,0.9613225947739473,5.216031074523926,3.742266893386841,11.380732536315918,9.02031135559082,2.3604211807250977,0.998102068901062,ok_or_low_error,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,low,82,1,True
01f30837-55ca-496c-9a10-e837ea201144__t0_2214702__evt_00,train,1.3860691785812378,3.429563522338867,0.04423724114894867,0.04317624121904373,1.3866097927093506,3.417188882827759,1.3418319374322891,3.3863872811198235,0.0234375,0.0,0.04031384736299515,0.1936408281326294,1.9977761507034302,1.0609822621344813,7.576706409454346,7.6896071434021,4.409715175628662,5.551246643066406,1.1415314674377441,0.9998881816864014,ok_or_low_error,A_good,A_good,1.0,group3_teacher_downweight_or_exclude,0.0,True,low,59,1,True
